"Student","Class","Method","IssueType","Severity","Details"
"assignment-2-307","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-307","BurgerShop","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-307","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-300","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-28","BurgerShop","setPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-21","BurgerShop","calculateBurgerTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-21","BurgerShop","calculateSnackTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-21","BurgerShop","calculateDrinkTime","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 1 total cases, avg 1.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-24","BurgerShop","addSnack","Switch Complexity","LOW","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-24","BurgerShop","addDrink","Switch Complexity","LOW","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-24","BurgerShop","addCombo","Switch Complexity","LOW","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-19","CartCalculations","calculateTime","Switch Complexity","LOW","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-19","BurgerShop","checkSize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-19","BurgerShop","showCart","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
